seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1,8012,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
13,20207,0,--:--:--,PAD,22.31,991.08,32.14,200.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
35,42613,0,--:--:--,PAD,22.49,991.12,31.22,199.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
36,43613,0,--:--:--,PAD,22.49,991.12,31.17,199.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
