seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
52,105891,0,--:--:--,PAD,21.22,1012.70,34.17,19.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
54,109857,0,--:--:--,PAD,21.24,1012.66,33.93,19.4,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
56,114971,0,--:--:--,PAD,21.28,1012.70,34.06,19.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
57,115971,0,--:--:--,PAD,21.29,1012.68,34.08,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
59,120376,0,--:--:--,PAD,21.31,1012.68,34.20,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
61,124381,0,--:--:--,PAD,21.32,1012.68,34.22,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
62,125381,0,--:--:--,PAD,21.33,1012.68,34.12,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
66,129872,0,--:--:--,PAD,21.34,1012.68,33.81,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
68,132237,0,--:--:--,PAD,21.35,1012.66,33.54,19.4,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
70,135006,0,--:--:--,PAD,21.36,1012.68,33.31,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
71,136006,0,--:--:--,PAD,21.37,1012.68,33.21,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
73,138979,0,--:--:--,PAD,21.37,1012.68,32.98,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
74,139979,0,--:--:--,PAD,21.37,1012.68,32.88,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
77,145694,0,--:--:--,PAD,21.38,1012.74,32.81,18.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
79,148336,0,--:--:--,PAD,21.38,1012.74,32.75,18.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
80,149336,0,--:--:--,PAD,21.38,1012.74,32.73,18.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
82,152172,0,--:--:--,PAD,21.39,1012.74,32.56,18.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
83,153172,0,--:--:--,PAD,21.40,1012.74,32.50,18.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
85,157248,0,--:--:--,PAD,21.41,1012.72,32.33,18.9,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
96,172059,0,--:--:--,PAD,21.43,1012.68,32.02,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
98,174926,0,--:--:--,PAD,21.43,1012.68,32.00,19.2,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
109,189980,0,--:--:--,PAD,21.47,1012.70,31.98,19.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
111,194503,0,--:--:--,PAD,21.49,1012.70,32.06,19.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
112,196558,0,--:--:--,PAD,21.49,1012.70,32.14,19.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
136,230919,0,--:--:--,PAD,21.58,1012.60,32.33,19.9,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
137,233042,0,--:--:--,PAD,21.59,1012.62,32.35,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
146,244553,0,--:--:--,PAD,21.63,1012.64,32.03,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
147,245553,0,--:--:--,PAD,21.63,1012.64,32.03,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
148,247304,0,--:--:--,PAD,21.64,1012.62,31.96,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
149,248304,0,--:--:--,PAD,21.64,1012.62,31.96,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
150,249304,0,--:--:--,PAD,21.64,1012.62,31.96,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
152,251856,0,--:--:--,PAD,21.65,1012.64,31.82,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
153,252856,0,--:--:--,PAD,21.64,1012.62,31.78,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
156,256035,0,--:--:--,PAD,21.63,1012.64,31.67,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
158,258831,0,--:--:--,PAD,21.63,1012.64,31.63,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
159,259831,0,--:--:--,PAD,21.62,1012.62,31.57,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
161,264110,0,--:--:--,PAD,21.62,1012.62,31.45,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
162,265880,0,--:--:--,PAD,21.61,1012.62,31.42,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
163,266949,0,--:--:--,PAD,21.61,1012.62,31.42,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
167,272095,0,--:--:--,PAD,21.62,1012.62,31.39,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
168,273095,0,--:--:--,PAD,21.62,1012.62,31.41,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
170,276150,0,--:--:--,PAD,21.62,1012.62,31.38,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
172,278818,0,--:--:--,PAD,21.62,1012.62,31.36,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
173,279818,0,--:--:--,PAD,21.62,1012.64,31.35,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
174,282535,0,--:--:--,PAD,21.62,1012.64,31.41,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
177,285917,0,--:--:--,PAD,21.62,1012.66,31.42,19.4,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
190,309238,0,--:--:--,PAD,21.62,1012.66,31.22,19.4,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
191,310238,0,--:--:--,PAD,21.61,1012.66,31.26,19.4,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
200,322534,0,--:--:--,PAD,21.61,1012.66,31.18,19.4,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
201,324024,0,--:--:--,PAD,21.60,1012.64,31.18,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
202,325024,0,--:--:--,PAD,21.60,1012.64,31.18,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
204,327769,0,--:--:--,PAD,21.60,1012.64,31.18,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
205,328769,0,--:--:--,PAD,21.59,1012.66,31.15,19.4,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
207,331438,0,--:--:--,PAD,21.60,1012.64,31.13,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
208,332438,0,--:--:--,PAD,21.60,1012.64,31.12,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
210,335564,0,--:--:--,PAD,21.59,1012.64,31.16,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
212,339311,0,--:--:--,PAD,21.58,1012.64,31.26,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
214,342220,0,--:--:--,PAD,21.58,1012.64,31.24,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
216,345082,0,--:--:--,PAD,21.58,1012.64,31.28,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
218,347778,0,--:--:--,PAD,21.58,1012.64,31.71,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
219,348778,0,--:--:--,PAD,21.58,1012.64,32.08,19.6,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
220,349778,0,--:--:--,PAD,21.58,1012.62,32.28,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
230,364220,0,--:--:--,PAD,21.59,1012.62,31.85,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
232,367581,0,--:--:--,PAD,21.60,1012.60,31.68,19.9,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
243,382435,0,--:--:--,PAD,21.53,1012.62,31.22,19.7,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
245,385020,0,--:--:--,PAD,21.52,1012.58,31.26,20.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
246,386027,0,--:--:--,PAD,21.52,1012.60,31.24,19.9,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
248,389082,0,--:--:--,PAD,21.51,1012.58,31.27,20.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
249,390082,0,--:--:--,PAD,21.51,1012.60,31.25,19.9,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
251,393125,0,--:--:--,PAD,21.50,1012.60,31.25,19.9,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
252,394417,0,--:--:--,PAD,21.50,1012.58,31.27,20.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
254,397289,0,--:--:--,PAD,21.50,1012.58,31.24,20.1,19.91,1011.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,2
