seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
24,48112,0,--:--:--,PAD,10.68,943.86,31.13,606.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
25,49112,0,--:--:--,PAD,10.70,943.91,31.14,606.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
26,50112,0,--:--:--,PAD,10.71,943.93,31.14,606.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
27,51658,0,--:--:--,PAD,10.72,944.03,31.13,605.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
28,52658,0,--:--:--,PAD,10.74,944.07,31.13,604.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
29,53660,0,--:--:--,PAD,10.75,944.13,31.14,604.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
30,54663,0,--:--:--,PAD,10.77,944.17,31.14,603.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
31,57533,0,--:--:--,PAD,10.79,944.27,31.15,603.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
32,58535,0,--:--:--,PAD,10.81,944.31,31.15,602.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
33,59535,0,--:--:--,PAD,10.82,944.35,31.15,602.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
34,60535,0,--:--:--,PAD,10.83,944.41,31.16,601.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
35,62556,0,--:--:--,PAD,10.85,944.46,31.16,601.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
36,63556,0,--:--:--,PAD,10.87,944.52,31.17,600.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
37,64556,0,--:--:--,PAD,10.88,944.54,31.17,600.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
38,65556,0,--:--:--,PAD,10.89,944.62,31.17,600.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
39,68158,0,--:--:--,PAD,10.92,944.74,31.18,598.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
40,69158,0,--:--:--,PAD,10.93,944.76,31.18,598.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
41,70158,0,--:--:--,PAD,10.94,944.82,31.18,598.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
42,71942,0,--:--:--,PAD,10.96,944.90,31.18,597.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
43,72947,0,--:--:--,PAD,10.98,944.95,31.18,597.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
44,73958,0,--:--:--,PAD,10.98,944.97,31.19,596.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
45,74958,0,--:--:--,PAD,11.00,945.03,31.19,596.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
46,77823,0,--:--:--,PAD,11.03,945.13,31.20,595.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
47,78823,0,--:--:--,PAD,11.04,945.19,31.20,595.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
48,79823,0,--:--:--,PAD,11.05,945.21,31.19,594.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
49,80823,0,--:--:--,PAD,11.06,945.25,31.20,594.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
50,82837,0,--:--:--,PAD,11.08,945.33,31.22,593.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
51,83837,0,--:--:--,PAD,11.09,945.35,31.21,593.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
52,84837,0,--:--:--,PAD,11.10,945.39,31.21,593.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
53,85837,0,--:--:--,PAD,11.11,945.43,31.22,592.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
54,87675,0,--:--:--,PAD,11.12,945.46,31.22,592.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
55,88675,0,--:--:--,PAD,11.13,945.50,31.22,592.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
56,89675,0,--:--:--,PAD,11.14,945.52,31.22,592.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
57,90675,0,--:--:--,PAD,11.15,945.56,31.22,591.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
58,93250,0,--:--:--,PAD,11.17,945.64,31.24,591.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
59,94250,0,--:--:--,PAD,11.18,945.66,31.23,590.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
60,95250,0,--:--:--,PAD,11.19,945.70,31.23,590.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
