seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
2,12443,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,988.56,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,13443,0,--:--:--,PAD,21.96,989.00,35.46,217.6,0.00,988.55,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,14443,0,--:--:--,PAD,21.98,989.00,35.36,217.6,20.24,988.58,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
5,15443,0,--:--:--,PAD,22.00,989.00,35.25,217.6,20.24,988.59,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
6,16443,0,--:--:--,PAD,22.02,989.00,35.12,217.6,20.24,988.58,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
8,18680,0,--:--:--,PAD,22.05,989.00,34.90,217.6,20.20,988.58,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
9,19730,0,--:--:--,PAD,22.06,989.02,34.81,217.4,20.20,988.60,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
