seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,18927,0,--:--:--,PAD,0.00,0.00,0.00,0.0,19.08,1018.18,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,22080,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,19.08,1018.19,0.000000,0.000000,0.0,0.00,0.0,0,0,1,0
3,25364,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,19.08,1018.19,0.000000,0.000000,0.0,0.00,0.0,0,0,2,0
4,26620,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,19.08,1018.18,0.000000,0.000000,0.0,0.00,0.0,0,0,2,0
1,19298,0,--:--:--,PAD,0.00,0.00,0.00,0.0,18.93,1017.92,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
