seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,17612,0,--:--:--,PAD,0.00,0.00,0.00,0.0,20.43,1018.38,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,18658,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,20.43,1018.38,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
1,17905,0,--:--:--,PAD,0.00,0.00,0.00,0.0,20.46,1018.34,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,18905,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,20.46,1018.34,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
