seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
63,106096,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295113,16.030085,7.5,0.00,0.0,5,0,0,0,1
64,107112,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295113,16.030085,7.5,0.00,0.0,5,0,0,0,1
65,108112,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030058,9.0,0.00,0.0,5,1,0,0,1
67,110829,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030043,9.4,0.00,0.0,5,1,0,0,1
68,111897,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030039,9.5,0.00,0.0,5,1,0,0,1
69,113164,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030039,9.5,0.00,0.0,5,1,0,0,1
70,114272,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030037,9.6,0.00,0.0,5,1,0,0,1
71,115541,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030037,9.6,0.00,0.0,5,1,0,0,1
72,116655,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030033,9.7,0.00,0.0,5,1,0,0,1
73,117655,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030033,9.7,0.00,0.0,5,1,0,0,1
74,121670,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030031,9.8,0.00,0.0,5,1,0,0,1
75,122708,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295120,16.030037,9.9,0.00,0.0,5,1,0,0,1
76,124304,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295128,16.030041,10.0,0.00,0.0,5,1,0,0,1
77,125334,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295128,16.030043,10.0,0.00,0.0,5,1,0,0,1
78,126345,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,69.295128,16.030045,10.0,0.00,0.0,5,1,0,0,1
