seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,35061,0,--:--:--,PAD,0.00,0.00,0.00,0.0,19.97,1013.38,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,36061,0,--:--:--,PAD,0.00,0.00,0.00,0.0,19.94,1013.40,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
3,37061,0,--:--:--,PAD,0.00,0.00,0.00,0.0,19.94,1013.40,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
1,36338,0,--:--:--,PAD,0.00,0.00,0.00,0.0,22.39,1014.07,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,37338,0,--:--:--,PAD,0.00,0.00,0.00,0.0,22.39,1014.09,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
5,52863,0,--:--:--,PAD,21.22,1014.29,32.89,5.9,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
6,54961,0,--:--:--,PAD,21.23,1014.27,32.72,6.0,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
8,60252,0,--:--:--,PAD,21.27,1014.29,32.50,5.9,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
9,63014,0,--:--:--,PAD,21.29,1014.29,32.56,5.9,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
11,65629,0,--:--:--,PAD,21.30,1014.29,32.78,5.9,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
12,66921,0,--:--:--,PAD,21.31,1014.27,32.82,6.0,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
15,72523,0,--:--:--,PAD,21.34,1014.27,32.73,6.0,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
16,73651,0,--:--:--,PAD,21.34,1014.27,32.80,6.0,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
17,75157,0,--:--:--,PAD,21.35,1014.25,32.79,6.2,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
18,76495,0,--:--:--,PAD,21.35,1014.23,32.79,6.4,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
19,77893,0,--:--:--,PAD,21.36,1014.25,32.87,6.2,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
20,79200,0,--:--:--,PAD,21.37,1014.25,32.86,6.2,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
21,80607,0,--:--:--,PAD,21.37,1014.23,32.96,6.4,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
23,84641,0,--:--:--,PAD,21.39,1014.27,32.92,6.0,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
24,86998,0,--:--:--,PAD,21.40,1014.29,32.97,5.9,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
25,89561,0,--:--:--,PAD,21.43,1014.27,33.15,6.0,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
26,90909,0,--:--:--,PAD,21.43,1014.25,33.32,6.2,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
28,96460,0,--:--:--,PAD,21.45,1014.25,33.66,6.2,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
29,97814,0,--:--:--,PAD,21.45,1014.27,33.97,6.0,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
31,101789,0,--:--:--,PAD,21.47,1014.27,34.51,6.0,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
33,104511,0,--:--:--,PAD,21.48,1014.25,34.46,6.2,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
35,107315,0,--:--:--,PAD,21.49,1014.25,34.29,6.2,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
36,109950,0,--:--:--,PAD,21.50,1014.21,34.08,6.5,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
38,112492,0,--:--:--,PAD,21.52,1014.21,34.01,6.5,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
39,114012,0,--:--:--,PAD,21.52,1014.20,34.12,6.6,23.40,1014.43,0.000000,0.000000,0.0,0.00,0.0,0,0,0,1
1,36325,0,--:--:--,PAD,0.00,0.00,0.00,0.0,22.75,1014.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,37325,0,--:--:--,PAD,0.00,0.00,0.00,0.0,22.75,1014.07,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
3,38325,0,--:--:--,PAD,0.00,0.00,0.00,0.0,22.75,1014.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
4,40274,0,--:--:--,PAD,21.35,1014.21,32.37,6.5,22.75,1014.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
5,41274,0,--:--:--,PAD,21.35,1014.21,32.37,6.5,22.75,1014.10,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
1,35694,0,--:--:--,PAD,0.00,0.00,0.00,0.0,22.67,1013.92,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
