seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1169,3181497,0,--:--:--,PAD,11.82,948.19,32.11,568.7,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,119,0
1170,3183386,0,--:--:--,PAD,11.83,948.23,32.12,568.3,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,119,0
1171,3184386,0,--:--:--,PAD,11.84,948.23,32.12,568.3,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,119,0
1172,3185386,0,--:--:--,PAD,11.84,948.29,32.12,567.8,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,119,0
1173,3186386,0,--:--:--,PAD,11.84,948.31,32.11,567.6,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,119,0
1174,3188254,0,--:--:--,PAD,11.85,948.33,32.12,567.5,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,120,0
1175,3189254,0,--:--:--,PAD,11.85,948.33,32.11,567.5,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,120,0
1176,3190264,0,--:--:--,PAD,11.86,948.35,32.11,567.3,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,120,0
1177,3192029,0,--:--:--,PAD,11.87,948.39,32.13,566.9,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,121,0
1178,3193089,0,--:--:--,PAD,11.87,948.39,32.13,566.9,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,121,0
1179,3194089,0,--:--:--,PAD,11.87,948.39,32.11,566.9,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,121,0
1180,3195089,0,--:--:--,PAD,11.88,948.43,32.11,566.6,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,121,0
1181,3196853,0,--:--:--,PAD,11.89,948.43,32.14,566.6,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,121,0
1182,3198782,0,--:--:--,PAD,11.90,948.47,32.14,566.2,0.00,0.00,69.234734,16.038902,46.8,0.84,101.5,0,0,0,122,0
