seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,20254,0,--:--:--,PAD,0.00,0.00,0.00,0.0,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,21533,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
3,22533,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
4,23533,0,--:--:--,DESCENT,22.60,997.03,48.99,149.9,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
5,24533,0,--:--:--,DESCENT,22.65,996.99,48.90,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
6,25533,0,--:--:--,DESCENT,22.69,997.03,48.81,149.9,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
7,26533,0,--:--:--,DESCENT,22.74,997.01,48.71,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
8,27533,0,--:--:--,DESCENT,22.77,997.01,48.60,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
9,28533,0,--:--:--,DESCENT,22.81,997.01,48.50,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
10,29533,0,--:--:--,DESCENT,22.84,996.97,48.42,150.4,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
11,30533,0,--:--:--,DESCENT,22.87,997.01,48.32,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
12,31533,0,--:--:--,DESCENT,22.90,996.99,48.22,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
13,32533,0,--:--:--,DESCENT,22.92,996.99,48.16,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
14,33533,0,--:--:--,DESCENT,22.94,996.99,48.08,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
15,34533,0,--:--:--,DESCENT,22.96,996.97,48.02,150.4,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
16,35533,0,--:--:--,DESCENT,22.97,996.97,47.97,150.4,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
17,36533,0,--:--:--,DESCENT,22.99,996.97,47.91,150.4,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
18,37533,0,--:--:--,DESCENT,23.00,996.97,47.85,150.4,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
19,38820,0,--:--:--,DESCENT,23.02,996.96,47.80,150.5,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
20,39820,0,--:--:--,DESCENT,23.03,996.99,47.76,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
21,40820,0,--:--:--,DESCENT,23.04,997.01,47.71,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
22,41820,0,--:--:--,DESCENT,23.05,996.99,47.65,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
23,42820,0,--:--:--,DESCENT,23.06,996.99,47.62,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
24,43820,0,--:--:--,DESCENT,23.06,997.01,47.60,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
25,44820,0,--:--:--,DESCENT,23.07,996.99,47.57,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
26,45820,0,--:--:--,DESCENT,23.08,997.01,47.56,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
27,46820,0,--:--:--,DESCENT,23.08,997.01,47.52,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
28,47820,0,--:--:--,DESCENT,23.09,996.99,47.48,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
29,48820,0,--:--:--,DESCENT,23.10,997.01,47.44,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
30,49820,0,--:--:--,DESCENT,23.10,997.01,47.41,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
31,50820,0,--:--:--,DESCENT,23.10,997.01,47.40,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
32,51820,0,--:--:--,DESCENT,23.11,997.01,47.37,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
33,52820,0,--:--:--,DESCENT,23.11,996.99,47.36,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
34,53820,0,--:--:--,DESCENT,23.11,996.99,47.34,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
35,54820,0,--:--:--,DESCENT,23.12,997.01,47.33,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
36,56105,0,--:--:--,DESCENT,23.12,997.01,47.31,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
37,57105,0,--:--:--,DESCENT,23.12,997.01,47.31,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
38,58105,0,--:--:--,DESCENT,23.12,997.01,47.29,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
39,59105,0,--:--:--,DESCENT,23.13,997.01,47.28,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
40,60105,0,--:--:--,DESCENT,23.13,996.99,47.27,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
41,61105,0,--:--:--,DESCENT,23.13,996.99,47.25,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
42,62105,0,--:--:--,DESCENT,23.13,997.01,47.24,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
43,63105,0,--:--:--,DESCENT,23.14,997.01,47.22,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
44,64105,0,--:--:--,DESCENT,23.14,997.01,47.22,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
45,65105,0,--:--:--,DESCENT,23.14,997.01,47.20,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
46,66105,0,--:--:--,DESCENT,23.14,997.01,47.18,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
47,67105,0,--:--:--,DESCENT,23.14,996.99,47.17,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
48,68105,0,--:--:--,DESCENT,23.15,996.99,47.13,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
49,69105,0,--:--:--,DESCENT,23.15,996.99,47.13,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
50,70105,0,--:--:--,DESCENT,23.15,996.99,47.10,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
51,71105,0,--:--:--,DESCENT,23.15,996.97,47.09,150.4,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
52,72105,0,--:--:--,DESCENT,23.15,997.01,47.08,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
53,73391,0,--:--:--,DESCENT,23.16,997.01,47.05,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
54,74391,0,--:--:--,DESCENT,23.16,997.01,47.03,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
55,75391,0,--:--:--,DESCENT,23.16,997.01,47.03,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
56,76391,0,--:--:--,DESCENT,23.16,997.01,47.01,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
57,77391,0,--:--:--,DESCENT,23.16,997.01,47.00,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
58,78391,0,--:--:--,DESCENT,23.16,997.01,47.00,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
59,79391,0,--:--:--,DESCENT,23.16,997.01,46.97,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
60,80391,0,--:--:--,DESCENT,23.16,997.01,46.98,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
61,81391,0,--:--:--,DESCENT,23.17,996.99,46.95,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
62,82391,0,--:--:--,DESCENT,23.17,996.99,46.97,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
63,83391,0,--:--:--,DESCENT,23.17,996.99,46.95,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
64,84391,0,--:--:--,DESCENT,23.17,996.99,46.96,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
65,85391,0,--:--:--,DESCENT,23.17,996.99,46.95,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
66,86391,0,--:--:--,DESCENT,23.17,996.99,46.97,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
67,87391,0,--:--:--,DESCENT,23.17,996.99,46.97,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
68,88391,0,--:--:--,DESCENT,23.17,996.99,46.97,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
69,89391,0,--:--:--,DESCENT,23.17,996.99,47.02,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
70,90674,0,--:--:--,DESCENT,23.17,996.99,47.04,150.2,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
71,91674,0,--:--:--,DESCENT,23.17,997.01,47.03,150.1,19.46,996.19,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
