seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
285,479723,0,--:--:--,PAD,24.16,1015.19,31.29,-1.6,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,3
286,480723,0,--:--:--,PAD,24.16,1015.19,31.29,-1.6,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,3
288,483406,0,--:--:--,PAD,24.18,1015.25,30.86,-2.1,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,3
290,486282,0,--:--:--,PAD,24.20,1015.21,30.44,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,3
292,488729,0,--:--:--,PAD,24.20,1015.21,30.09,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,3
293,491705,0,--:--:--,PAD,24.18,1015.21,29.77,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,3
294,492990,0,--:--:--,PAD,24.17,1015.23,29.61,-1.9,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,3
296,496912,0,--:--:--,PAD,24.15,1015.21,29.43,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
297,498685,0,--:--:--,PAD,24.15,1015.21,29.67,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
298,499691,0,--:--:--,PAD,24.16,1015.19,30.08,-1.6,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
299,501369,0,--:--:--,PAD,24.18,1015.21,31.01,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
300,502575,0,--:--:--,PAD,24.18,1015.21,31.01,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
301,503981,0,--:--:--,PAD,24.20,1015.21,31.38,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
302,504981,0,--:--:--,PAD,24.21,1015.23,31.64,-1.9,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
304,507773,0,--:--:--,PAD,24.24,1015.21,32.05,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
305,508773,0,--:--:--,PAD,24.25,1015.23,32.04,-1.9,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
306,512171,0,--:--:--,PAD,24.28,1015.23,32.20,-1.9,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
307,513171,0,--:--:--,PAD,24.30,1015.23,32.27,-1.9,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
308,514799,0,--:--:--,PAD,24.35,1015.23,32.30,-1.9,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
309,515978,0,--:--:--,PAD,24.35,1015.23,32.30,-1.9,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
310,517547,0,--:--:--,PAD,24.37,1015.23,32.23,-1.9,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
311,518857,0,--:--:--,PAD,24.39,1015.21,32.15,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
313,521334,0,--:--:--,PAD,24.45,1015.21,32.03,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
314,524341,0,--:--:--,PAD,24.50,1015.21,31.83,-1.7,24.59,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,4
