seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
16,28599,0,--:--:--,PAD,22.18,988.59,33.99,221.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
31,43953,0,--:--:--,PAD,22.23,988.63,33.82,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
46,59286,0,--:--:--,PAD,22.27,988.61,34.28,220.9,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
62,75692,0,--:--:--,PAD,22.33,988.63,35.28,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
