seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1,6716,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
2,7716,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,9005,0,--:--:--,PAD,22.36,991.20,34.58,199.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,10023,0,--:--:--,PAD,22.39,991.22,34.52,198.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
5,11023,0,--:--:--,PAD,22.44,991.22,34.38,198.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
6,12023,0,--:--:--,PAD,22.49,991.20,34.28,199.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
7,13023,0,--:--:--,PAD,22.51,991.18,34.23,199.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
8,14023,0,--:--:--,PAD,22.55,991.20,34.13,199.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
9,15023,0,--:--:--,PAD,22.58,991.20,34.05,199.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
10,16023,0,--:--:--,PAD,22.60,991.20,34.01,199.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
