seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,18344,0,--:--:--,PAD,0.00,0.00,0.00,0.0,20.05,1018.28,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,19349,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,20.05,1018.28,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
3,20390,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,20.05,1018.26,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
4,21390,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,20.05,1018.27,0.000000,0.000000,0.0,0.00,0.0,0,0,1,0
5,22390,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,20.09,1018.26,0.000000,0.000000,0.0,0.00,0.0,0,0,1,0
6,23390,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,20.09,1018.28,0.000000,0.000000,0.0,0.00,0.0,0,0,1,0
