seq,ts_ms,utc_ts,state,temp1,press1,hum,alt_baro,temp2,press2,lat,lon,alt_gps,speed_ms,heading,gps_sats,gps_fix,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gas_res,m4_err,m7_err
1,14312,0,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
2,19928,0,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
3,21834,0,PAD,23.24,975.20,28.13,335.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
4,22834,0,PAD,23.26,975.27,28.13,334.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
5,23834,0,PAD,23.31,975.43,28.13,333.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
6,24834,0,PAD,23.35,975.63,28.12,331.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
7,26631,0,PAD,23.40,975.78,28.13,330.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
8,27631,0,PAD,23.42,975.86,28.14,329.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
9,28631,0,PAD,23.46,975.98,28.14,328.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
10,29631,0,PAD,23.49,976.12,28.13,327.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
11,32140,0,PAD,23.56,976.33,28.14,325.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
12,33140,0,PAD,23.59,976.43,28.13,324.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
13,34140,0,PAD,23.62,976.51,28.14,323.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
14,35140,0,PAD,23.63,976.55,28.14,323.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
15,36533,0,PAD,23.68,976.67,28.16,322.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
16,37533,0,PAD,23.69,976.74,28.14,321.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
17,38533,0,PAD,23.71,976.80,28.15,321.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
18,39533,0,PAD,23.74,976.90,28.16,320.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
19,41599,0,PAD,23.77,976.96,28.15,319.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
20,42749,0,PAD,23.79,977.08,28.16,318.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
21,43749,0,PAD,23.81,977.16,28.16,318.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
22,44770,0,PAD,23.84,977.24,28.17,317.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
23,46544,0,PAD,23.87,977.32,28.17,316.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
24,47594,0,PAD,23.88,977.38,28.17,316.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
25,48594,0,PAD,23.91,977.39,28.17,316.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
26,49594,0,PAD,23.93,977.47,28.17,315.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
27,52306,0,PAD,23.99,977.61,28.18,314.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
28,53306,0,PAD,24.01,977.65,28.18,314.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
29,54306,0,PAD,24.03,977.77,28.18,313.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
30,55306,0,PAD,24.06,977.83,28.17,312.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
31,56704,0,PAD,24.09,977.90,28.20,311.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
