seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
13,34140,0,--:--:--,PAD,23.62,976.51,28.14,323.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
14,35140,0,--:--:--,PAD,23.63,976.55,28.14,323.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
15,36533,0,--:--:--,PAD,23.68,976.67,28.16,322.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
16,37533,0,--:--:--,PAD,23.69,976.74,28.14,321.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
17,38533,0,--:--:--,PAD,23.71,976.80,28.15,321.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
18,39533,0,--:--:--,PAD,23.74,976.90,28.16,320.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
19,41599,0,--:--:--,PAD,23.77,976.96,28.15,319.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
20,42749,0,--:--:--,PAD,23.79,977.08,28.16,318.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
21,43749,0,--:--:--,PAD,23.81,977.16,28.16,318.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
22,44770,0,--:--:--,PAD,23.84,977.24,28.17,317.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
23,46544,0,--:--:--,PAD,23.87,977.32,28.17,316.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
24,47594,0,--:--:--,PAD,23.88,977.38,28.17,316.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
