seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
2,11607,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,988.68,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
12,22046,0,--:--:--,PAD,21.99,989.06,34.51,217.1,20.48,988.71,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
54,64903,0,--:--:--,PAD,22.15,989.06,33.95,217.1,21.14,988.90,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
55,65903,0,--:--:--,PAD,22.16,989.06,33.94,217.1,21.17,988.90,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
