seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,39919,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,40919,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
4,43631,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
1,29933,0,--:--:--,PAD,0.00,0.00,0.00,0.0,19.99,996.01,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,31123,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,19.99,996.02,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
3,32479,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,19.99,996.02,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
4,33479,0,--:--:--,DESCENT,0.00,0.00,0.00,0.0,19.99,996.02,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
5,34479,0,--:--:--,DESCENT,22.77,996.68,46.29,152.8,19.99,996.02,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
