seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
90,164541,0,--:--:--,PAD,23.32,997.03,47.82,149.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
91,165541,0,--:--:--,PAD,23.33,997.05,47.81,149.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
93,168267,0,--:--:--,PAD,23.35,997.03,47.76,149.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
94,171170,0,--:--:--,PAD,23.36,997.07,47.73,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
95,172170,0,--:--:--,PAD,23.36,997.07,47.78,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
97,174967,0,--:--:--,PAD,23.37,997.07,47.68,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
98,176544,0,--:--:--,PAD,23.37,997.07,47.71,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
99,177830,0,--:--:--,PAD,23.37,997.07,47.62,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
101,181666,0,--:--:--,PAD,23.38,997.05,47.60,149.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
103,184523,0,--:--:--,PAD,23.38,997.05,47.60,149.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
107,189715,0,--:--:--,PAD,23.38,997.07,47.52,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
108,190715,0,--:--:--,PAD,23.38,997.05,47.53,149.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
111,195274,0,--:--:--,PAD,23.38,997.05,47.85,149.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
114,199250,0,--:--:--,PAD,23.40,997.07,48.12,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
115,200250,0,--:--:--,PAD,23.40,997.07,48.14,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
116,202228,0,--:--:--,PAD,23.40,997.05,48.10,149.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
117,203228,0,--:--:--,PAD,23.41,997.07,48.11,149.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
