seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1,14143,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
2,19483,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,21394,0,--:--:--,PAD,24.09,978.39,27.94,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,22394,0,--:--:--,PAD,24.10,978.37,27.88,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
5,23394,0,--:--:--,PAD,24.11,978.39,27.85,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
6,24394,0,--:--:--,PAD,24.12,978.37,27.83,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
7,26239,0,--:--:--,PAD,24.14,978.37,27.80,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
8,27239,0,--:--:--,PAD,24.14,978.36,27.76,308.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
9,28239,0,--:--:--,PAD,24.15,978.39,27.73,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
10,29239,0,--:--:--,PAD,24.15,978.37,27.70,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
11,30653,0,--:--:--,PAD,24.16,978.36,27.65,308.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
12,31793,0,--:--:--,PAD,24.17,978.39,27.62,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
13,32793,0,--:--:--,PAD,24.17,978.39,27.62,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
14,33793,0,--:--:--,PAD,24.17,978.39,27.61,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
15,36062,0,--:--:--,PAD,24.19,978.39,27.64,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
16,37062,0,--:--:--,PAD,24.19,978.39,27.67,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
17,38062,0,--:--:--,PAD,24.19,978.39,27.66,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
18,39062,0,--:--:--,PAD,24.20,978.37,27.71,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
19,40839,0,--:--:--,PAD,24.20,978.39,27.73,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
20,41839,0,--:--:--,PAD,24.21,978.39,27.75,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
21,42839,0,--:--:--,PAD,24.21,978.37,27.75,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
22,43839,0,--:--:--,PAD,24.22,978.37,27.73,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
23,45786,0,--:--:--,PAD,24.22,978.37,27.69,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
24,47085,0,--:--:--,PAD,24.23,978.39,27.68,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
25,48085,0,--:--:--,PAD,24.23,978.39,27.67,307.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
26,49085,0,--:--:--,PAD,24.24,978.37,27.65,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
27,51362,0,--:--:--,PAD,24.25,978.37,27.56,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
28,52362,0,--:--:--,PAD,24.26,978.37,27.50,307.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
