seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,32027,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,33060,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
3,34617,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
4,35617,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
5,37278,0,--:--:--,PAD,22.95,996.97,47.38,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
6,38894,0,--:--:--,PAD,23.02,996.96,47.14,150.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
7,39894,0,--:--:--,PAD,23.02,996.96,47.14,150.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
8,42695,0,--:--:--,PAD,23.07,996.96,46.92,150.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
9,43695,0,--:--:--,PAD,23.10,996.97,46.84,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
10,45386,0,--:--:--,PAD,23.12,996.97,46.74,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
11,46513,0,--:--:--,PAD,23.14,996.96,46.64,150.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
13,49393,0,--:--:--,PAD,23.17,996.94,46.52,150.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
14,50853,0,--:--:--,PAD,23.19,996.97,46.42,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
15,51853,0,--:--:--,PAD,23.19,996.97,46.42,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
16,53536,0,--:--:--,PAD,23.21,996.97,46.33,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
17,54536,0,--:--:--,PAD,23.21,996.97,46.33,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
18,55536,0,--:--:--,PAD,23.22,996.97,46.31,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
19,58941,0,--:--:--,PAD,23.23,996.97,46.22,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
20,59948,0,--:--:--,PAD,23.24,996.97,46.20,150.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
