seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1,11275,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
2,17398,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,18398,0,--:--:--,PAD,24.21,980.36,20.33,290.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,19667,0,--:--:--,PAD,24.24,980.34,20.07,291.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
5,20708,0,--:--:--,PAD,24.25,980.34,19.87,291.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
6,21708,0,--:--:--,PAD,24.26,980.34,19.76,291.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
1,11176,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
2,17751,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,18751,0,--:--:--,PAD,23.13,980.18,19.58,292.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,19751,0,--:--:--,PAD,23.15,980.18,19.49,292.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
5,20751,0,--:--:--,PAD,23.16,980.18,19.38,292.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
6,21751,0,--:--:--,PAD,23.17,980.18,19.33,292.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
7,22752,0,--:--:--,PAD,23.18,980.20,19.22,292.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
1,13656,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
2,20100,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,21100,0,--:--:--,PAD,23.10,980.16,18.31,292.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,22100,0,--:--:--,PAD,23.12,980.16,18.29,292.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
5,23100,0,--:--:--,PAD,23.13,980.14,18.33,292.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
1,10311,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
2,16934,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,17934,0,--:--:--,PAD,23.17,980.16,20.04,292.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,18934,0,--:--:--,PAD,23.18,980.20,19.84,292.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
5,19934,0,--:--:--,PAD,23.19,980.20,19.66,292.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
6,20934,0,--:--:--,PAD,23.21,980.18,19.49,292.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
7,21934,0,--:--:--,PAD,23.22,980.20,19.42,292.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
8,22934,0,--:--:--,PAD,23.23,980.20,19.28,292.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
9,23934,0,--:--:--,PAD,23.23,980.22,19.16,292.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
10,24934,0,--:--:--,PAD,23.24,980.20,19.09,292.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
11,25934,0,--:--:--,PAD,23.25,980.20,19.00,292.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
12,26934,0,--:--:--,PAD,23.25,980.22,18.91,292.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
13,28174,0,--:--:--,PAD,23.25,980.20,18.82,292.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
