seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
16,28599,0,--:--:--,PAD,22.18,988.59,33.99,221.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
31,43953,0,--:--:--,PAD,22.23,988.63,33.82,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
46,59286,0,--:--:--,PAD,22.27,988.61,34.28,220.9,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
62,75692,0,--:--:--,PAD,22.33,988.63,35.28,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
76,90123,0,--:--:--,PAD,22.35,988.63,34.80,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
77,91123,0,--:--:--,PAD,22.35,988.61,34.70,220.9,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
78,92123,0,--:--:--,PAD,22.35,988.61,34.62,220.9,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
80,94135,0,--:--:--,PAD,22.35,988.61,34.46,220.9,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
81,95520,0,--:--:--,PAD,22.35,988.61,34.39,220.9,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
82,96539,0,--:--:--,PAD,22.35,988.61,34.34,220.9,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
97,111919,0,--:--:--,PAD,22.38,988.63,34.76,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
98,112919,0,--:--:--,PAD,22.38,988.63,34.71,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
112,127301,0,--:--:--,PAD,22.39,988.63,34.00,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
113,128301,0,--:--:--,PAD,22.39,988.63,33.98,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
127,142681,0,--:--:--,PAD,22.38,988.63,33.70,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
128,143681,0,--:--:--,PAD,22.38,988.63,33.69,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
129,144681,0,--:--:--,PAD,22.38,988.63,33.69,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
132,147865,0,--:--:--,PAD,22.38,988.63,33.68,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
133,149246,0,--:--:--,PAD,22.38,988.63,33.68,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
134,150246,0,--:--:--,PAD,22.38,988.63,33.69,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
135,151246,0,--:--:--,PAD,22.38,988.63,33.67,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
149,165628,0,--:--:--,PAD,22.39,988.63,33.63,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
150,166628,0,--:--:--,PAD,22.39,988.63,33.63,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
164,181011,0,--:--:--,PAD,22.40,988.63,33.74,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
165,182011,0,--:--:--,PAD,22.40,988.63,33.75,220.7,21.15,988.45,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
