seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
28,52524,0,--:--:--,PAD,14.20,956.06,30.93,500.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
29,53524,0,--:--:--,PAD,14.15,955.88,30.91,501.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
30,54524,0,--:--:--,PAD,14.12,955.76,30.91,502.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
31,57283,0,--:--:--,PAD,13.99,955.31,30.88,506.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
32,58332,0,--:--:--,PAD,13.94,955.16,30.89,507.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
33,59332,0,--:--:--,PAD,13.92,955.08,30.89,508.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
34,60332,0,--:--:--,PAD,13.87,954.88,30.89,510.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
35,62299,0,--:--:--,PAD,13.76,954.49,30.88,513.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
36,63299,0,--:--:--,PAD,13.73,954.39,30.86,514.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
37,64299,0,--:--:--,PAD,13.68,954.21,30.86,516.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
38,65299,0,--:--:--,PAD,13.62,954.02,30.85,517.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
39,67215,0,--:--:--,PAD,13.56,953.72,30.85,520.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
40,68215,0,--:--:--,PAD,13.52,953.63,30.86,521.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
41,69215,0,--:--:--,PAD,13.51,953.57,30.85,521.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
42,70215,0,--:--:--,PAD,13.48,953.47,30.83,522.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
43,72319,0,--:--:--,PAD,13.41,953.25,30.84,524.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
44,73319,0,--:--:--,PAD,13.40,953.19,30.82,525.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
45,74319,0,--:--:--,PAD,13.37,953.08,30.82,526.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
46,75615,0,--:--:--,PAD,13.34,952.98,30.82,526.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
