seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,24850,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,25850,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
3,26850,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
5,29481,0,--:--:--,PAD,22.83,996.76,47.40,152.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
7,32497,0,--:--:--,PAD,22.89,996.76,47.12,152.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
8,33497,0,--:--:--,PAD,22.92,996.76,47.01,152.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
10,36499,0,--:--:--,PAD,22.98,996.72,46.84,152.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
12,39234,0,--:--:--,PAD,23.03,996.76,46.70,152.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
14,42004,0,--:--:--,PAD,23.06,996.76,46.56,152.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
15,43004,0,--:--:--,PAD,23.07,996.74,46.47,152.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
17,47437,0,--:--:--,PAD,23.10,996.74,46.34,152.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
18,49063,0,--:--:--,PAD,23.11,996.72,46.30,152.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
19,50312,0,--:--:--,PAD,23.12,996.74,46.26,152.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
21,52649,0,--:--:--,PAD,23.14,996.74,46.18,152.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
