seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
38,79240,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
40,82144,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
42,84914,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
43,86488,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
44,88289,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
45,90142,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
46,92490,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
48,95635,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
49,96718,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
50,97795,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
53,102466,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
54,103894,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
55,105208,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
56,106315,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
57,107783,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
58,109105,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
