seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
48,61800,0,--:--:--,PAD,21.95,989.25,33.00,215.5,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
50,63800,0,--:--:--,PAD,21.96,989.24,33.04,215.6,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
51,64800,0,--:--:--,PAD,21.97,989.22,33.03,215.7,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
52,66113,0,--:--:--,PAD,21.97,989.22,33.04,215.7,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
53,67113,0,--:--:--,PAD,21.97,989.24,33.02,215.6,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
54,68113,0,--:--:--,PAD,21.98,989.24,33.00,215.6,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
55,69113,0,--:--:--,PAD,21.98,989.22,32.98,215.7,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
59,73366,0,--:--:--,PAD,21.98,989.22,32.92,215.7,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
61,75684,0,--:--:--,PAD,21.98,989.22,32.91,215.7,21.15,989.06,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
