seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1,33093,0,--:--:--,PAD,0.00,0.00,0.00,0.0,20.06,1011.69,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
2,34282,0,--:--:--,PAD,0.00,0.00,0.00,0.0,20.06,1011.67,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
3,36675,0,--:--:--,PAD,0.00,0.00,0.00,0.0,20.06,1011.68,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
1,39238,0,--:--:--,PAD,0.00,0.00,0.00,0.0,20.04,1011.61,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
2,40238,0,--:--:--,PAD,0.00,0.00,0.00,0.0,20.04,1011.61,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
1,32564,0,--:--:--,PAD,0.00,0.00,0.00,0.0,19.97,1011.66,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
2,33564,0,--:--:--,PAD,0.00,0.00,0.00,0.0,19.97,1011.67,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
