seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
19,42073,0,--:--:--,PAD,14.39,956.80,30.97,493.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
20,43073,0,--:--:--,PAD,14.39,956.76,30.96,493.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
21,44073,0,--:--:--,PAD,14.39,956.76,30.96,493.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
22,45073,0,--:--:--,PAD,14.39,956.74,30.95,494.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
