seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1,33327,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.65,1008.85,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
2,34383,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.65,1008.85,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
3,35881,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.65,1008.85,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
5,38230,0,--:--:--,PAD,5.72,1012.40,68.30,21.6,2.65,1008.85,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
1,42374,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.22,1008.84,59.896545,10.522945,25.6,0.01,0.0,8,1,0,0,1
2,43375,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.22,1008.84,59.896545,10.522945,25.6,0.01,0.0,8,1,0,0,1
3,44375,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.22,1008.84,59.896545,10.522943,24.6,0.01,0.0,8,1,0,0,1
1,33742,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.12,1008.74,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
2,34742,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.12,1008.74,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
3,36308,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.12,1008.74,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
4,37589,0,--:--:--,PAD,5.26,1012.34,72.79,22.1,2.12,1008.74,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
1,42629,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.11,1008.74,59.896561,10.523006,30.7,0.02,0.0,6,1,0,0,1
2,43629,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.11,1008.74,59.896561,10.523006,30.7,0.02,0.0,6,1,0,0,1
3,44629,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.11,1008.74,59.896561,10.523009,30.7,0.03,0.0,6,1,0,0,1
4,45629,0,--:--:--,PAD,0.00,0.00,0.00,0.0,2.11,1008.74,59.896561,10.523010,31.1,0.03,0.0,7,1,0,0,1
