seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
2,12374,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,988.26,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,13374,0,--:--:--,PAD,21.19,989.39,34.10,214.3,0.00,988.27,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,14374,0,--:--:--,PAD,21.22,989.37,34.06,214.5,17.57,988.26,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
16,26679,0,--:--:--,PAD,21.36,989.39,33.57,214.3,17.81,988.40,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
17,27679,0,--:--:--,PAD,21.36,989.37,33.52,214.5,17.81,988.39,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
18,28679,0,--:--:--,PAD,21.37,989.35,33.49,214.6,17.81,988.40,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
19,29679,0,--:--:--,PAD,21.38,989.39,33.46,214.3,17.93,988.40,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
20,30679,0,--:--:--,PAD,21.38,989.39,33.44,214.3,17.93,988.42,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
35,46363,0,--:--:--,PAD,21.44,989.37,33.17,214.5,18.60,988.55,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
36,47363,0,--:--:--,PAD,21.44,989.37,33.17,214.5,18.60,988.55,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
37,48363,0,--:--:--,PAD,21.44,989.37,33.14,214.5,18.60,988.56,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
38,49363,0,--:--:--,PAD,21.45,989.35,33.12,214.6,18.70,988.57,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
39,50363,0,--:--:--,PAD,21.45,989.35,33.11,214.6,18.70,988.59,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
54,65720,0,--:--:--,PAD,21.51,989.35,33.15,214.6,19.20,988.70,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
65,77083,0,--:--:--,PAD,21.53,989.39,33.06,214.3,19.51,988.79,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
66,78083,0,--:--:--,PAD,21.53,989.39,33.07,214.3,19.58,988.76,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
67,79083,0,--:--:--,PAD,21.54,989.39,33.07,214.3,19.58,988.78,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
68,80083,0,--:--:--,PAD,21.54,989.39,33.07,214.3,19.58,988.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
69,81083,0,--:--:--,PAD,21.54,989.39,33.06,214.3,19.64,988.82,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
83,95427,0,--:--:--,PAD,21.56,989.39,33.00,214.3,19.96,988.90,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
84,96427,0,--:--:--,PAD,21.56,989.39,32.99,214.3,19.96,988.89,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
